Lista de Suajes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,21-06-24 Rev: 81,,
,N°,Dientes,Suaje Nº,Ubicación,Ancho,x,Largo,Cinta,G/L,G/S,P,D,Figura,ML/millar,Area/millar,Material,Comentarios,Proveedor,Fecha/alta
,,53,830-804,,"17,0",*,"21,0",171,3,"3,0",8,7,Ovalo,"3,005","0,51",,Prime Harvest,AW,7/11/2011
,,90,M-910-441,,"17,0",*,"22,0",231,"5,7","4,4",10,11,Ovalo,"2,639","0,61",PF02,Industrias Rochin,Rotometrics,26/1/2024
,,51,830-806,,"17,0",*,"24,0",171,3,"3,0",8,6,Ovalo,"3,375","0,58",,Del Monte Grupo Comercial,AW,2/12/2011
,,76,M-910-135,,"17,0",*,"31,0",240,"2,0","3,5",12,7,Figura,"2,875","0,69",PF01,Mastronardi Produce,Rotometrics,19/9/2014
,,76,M-910-136,,"17,0",*,"31,0",240,"2,0","3,5",12,7,Muesca (corte por debajo),"2,875","0,69",PF01,Mastronardi Produce (se usa con M-910-135),Rotometrics,19/9/2014
,83,44,830-071,A-107,"17,0",*,"66,0",111,3,"4,0",5,2,Rectángulo,"14,000","1,55",,,,
,,65,M-830-148,,"17,0",*,"66,0",111,3,"2,8",5,3,Rectángulo,"13,758","1,53",PL06,Emerson,Rotometrics,3/10/2022
,,74,M-910-068,,"18,0",*,"10,0",242,3,"3,1",11,18,Rectángulo,"1,187","0,29",PH07,Laboratorios Pisa,Rotometrics,5/3/2013
,,96,M-910-027,,"18,0",*,"18,0",250,"2,3","4,1",12,14,Círculo (Hardran),"1,839","0,46",PF01,Mega Frescos (se usa con M-910-017),Rotometrics,21/2/2010
,,96,M-910-016,,"18,0",*,"20,0",256,"2,3","1,7",12,14,Figura (Hardran),"1,808","0,46",PF01,Se usa con M-910-017,Rotometrics,17/4/2008
,,96,M-910-017,,"18,0",*,"20,0",256,"2,3","1,7",12,14,Ponchado (Hardran),"1,808","0,46",PF01,(Cortea por debajo) Se usa con M-910-016,Rotometrics,17/4/2008
,,96,M-910-021,,"18,0",*,"20,0",255,"2,3","1,7",12,14,Ovalo especial (inclinado),"1,808","0,46",CS22,Orofrut,Rotometrics,2/11/2009
,671,48,830-695,F-234,"18,0",*,"22,0",137,3,"3,2",6,6,Figura especial,"4,196","0,57",,Dole,AW,2/5/2006
,3,48,830-003,A-3,"18,0",*,"23,0",72,2,"2,0",3,6,Ovalo,"8,333","0,60",,,,
,4,56,830-003A,A-4,"18,0",*,"23,0",172,2,"2,0",8,7,Ovalo,"3,125","0,54",,,,
,749,69,910-014,G-4,"18,0",*,"29,0",252,2,"3,0",12,7,Ovalo,"2,667","0,67",,,,
,,74,M-910-343,,"18,0",*,"30,0",242,"3,0","3,6",11,7,Figura,"3,051","0,74",BB15,Mastronardi Produce,Rotometrics,5/4/2021
,,76,M-910-090,,"18,0",*,"31,0",242,"3,0","3,5",11,7,Figura,"3,134","0,76",BB01,Comercializadora Gab,Rotometrics,8/11/2013
